upc,item,brand,segment,flavor,pack_type,total_sales,total_units,weeks_observed,promo_weeks,avg_aup,promo_week_pct
85119900100,PRM DRNK WTR JUG 640 FL OZ,PRIMO (PRIMO WATER CORP),SUW,UNFLAVORED,SINGLE PACK,970022.2972078049,67082.85465405484,60,0,14.457158710488516,0.0
7929800007,EVN FRNC NTRL ELCT MD BY FRNC ALPS 7.2 PH BLNC SPRN WTR BTL 33.8 FL OZ,EVIAN (EVIAN WATERS OF FRANCE INC),SUW,UNFLAVORED,SINGLE PACK,941754.707610892,335954.66126677947,60,32,2.8324181096354897,0.5333333333333333
200026799602,CTL BR DRNK WTR BTL 6PK 128 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,922156.4780207821,169632.4715138876,60,3,5.441177492016457,0.05
200029158601,CTL BR DRNK WTR BTL 24PK 16.9 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,905920.4617331357,266330.75051275484,60,19,3.454496632443464,0.31666666666666665
78616200296,GLC VTM WTR ZR SGR AC BLBR PMGR NTRN ENHN BVRG BTL 20 FL OZ,"GLACEAU VITAMIN WATER (ENERGY BRANDS, INC.)",SFW,ACAI BLUEBERRY POMEGRANATE,SINGLE PACK,887004.5856327844,490670.06778162206,52,31,1.8161435689010976,0.5961538461538461
78616241177,GLC VTM WTR TRPC CTRS NTRN ENHN BVRG BTL 6PK 16.9 FL OZ,"GLACEAU VITAMIN WATER (ENERGY BRANDS, INC.)",SFW,TROPICAL CITRUS,MULTI PACK,873540.6956778145,126511.35295749197,60,7,6.903202866201331,0.11666666666666667
200028795149,CTL BR BRYM SPRN WTR JUG 128 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,SINGLE PACK,863156.7569309473,597272.8585775426,60,0,1.4445745293429428,0.0
200064957855,CTL BR ASRTD DRNK WTR BTL 18PK 33.8 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,862035.3062881952,86398.16682952222,60,0,9.97744510174972,0.0
63256500062,FJ YQR VT LEVU EART FNST ELCT ARTS WTR BTL 6PK 11.15 FL OZ,FIJI (NATURAL WATERS OF VITI LIMITED),SUW,UNFLAVORED,MULTI PACK,845229.424775919,126733.71293301157,60,23,6.6953244810866455,0.38333333333333336
78616241139,GLC SMR WTR ASRTD BVRG BTL 20 FL OZ,"GLACEAU SMART WATER (ENERGY BRANDS, INC.)",SUW,UNFLAVORED,SINGLE PACK,842864.6839787482,336385.9112054777,60,2,2.4987705018060864,0.03333333333333333
1200000157,AQFN DRNK WTR BTL 33.8 FL OZ,AQUAFINA (PEPSI COLA CO/DIV PEPSICO INC),SUW,UNFLAVORED,SINGLE PACK,817320.8041535452,411293.39632111037,60,0,1.9868003256845899,0.0
200039909338,CTL BR WTH ELCT ADD TST ALKL PH 9 5 PLS DRNK WTR BTL 24PK 16.9 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,813903.3735806389,190083.64173039695,60,7,4.308279288315916,0.11666666666666667
200031200388,CTL BR DRNK WTR BTL 24PK 16.9 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,807060.7967355456,226419.81353351442,60,13,3.570624558165691,0.21666666666666667
60888300005,ETRN NEW ZLND ARTS WTR BTL 33.8 FL OZ,ETERNAL (ETERNAL SPRING MINERAL WATER LTD),SUW,UNFLAVORED,SINGLE PACK,794302.9762042196,474322.2617587272,60,30,1.680923751538262,0.5
200059732860,CTL BR ASRTD DRNK WTR BTL 40PK 16.9 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,792126.4775129543,74245.49442554575,60,0,10.676199799626083,0.0
18473900149,HNT VRTY PCK WRP 192 FL OZ,HINT (HINT INC),SFW,NOT APPLICABLE,COMBINATION PACK,777420.8775350009,55897.34145512266,60,37,13.950563317191046,0.6166666666666667
